Likely true (according to Katie Pearson)?,candidate record citation,candidate query,candidate record reference,accession,specimen_voucher,definition,derived_from,OBI specimen
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP747724,null,"Beta vulgaris subsp. maritima isolate 12OBI trnH-psbA intergenic spacer, partial sequence; and photosystem II 32 kDa protein (psbA) gene, partial cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L520056-L520115,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP747807,null,"Beta vulgaris subsp. maritima isolate 12OBI trnL-trnF intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L524334-L524375,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP747843,null,"Beta vulgaris subsp. maritima isolate 12OBI trnD-trnT intergenic spacer, partial sequence; chloroplast.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L525983-L526035,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP747927,null,"Beta vulgaris subsp. maritima isolate 12OBI tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L531780-L531868,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP747962,null,"Beta vulgaris subsp. maritima isolate 12OBI alcohol dehydrogenase (adh) gene, partial cds.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L534393-L534444,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/KP748020,null,"Beta vulgaris subsp. maritima isolate 12OBI chlorophyll a /b binding protein (cab11) gene, partial cds.",https://linker.bio/line:gz:hash://sha256/9d1e9f2bd8323f9d037a86b007ec53e53ff03d21495cb0a5a2f511a8cbe8cca6!/L537545-L537605,
yes,https://linker.bio/line:zip:hash://sha256/3e185bbac445c1f79de3266b9f882fd61ce2c1a1800c03b38845f8a2452048b9!/occurrences.csv!/L34812,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""25383"")'",https://cch2.org/portal/collections/individual/index.php?occid=198762,https://www.ncbi.nlm.nih.gov/nuccore/JF951067,25383 (OBI),"Phalaris lemmonii isolate LEM25383ITS3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1400720-L1400768,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""25383"")'",https://cch2.org/portal/collections/individual/index.php?occid=198762,https://www.ncbi.nlm.nih.gov/nuccore/JF951103,25383 (OBI),"Phalaris lemmonii isolate LEM25383 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; plastid.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1402706-L1402773,
yes,,"preston dwc-stream | jq 'select(.[""http://rs.tdwg.org/dwc/terms/recordNumber""] == ""25383"")'",https://cch2.org/portal/collections/individual/index.php?occid=198762,https://www.ncbi.nlm.nih.gov/nuccore/JF951067,25383 (OBI),"Phalaris lemmonii isolate LEM25383ITS3 internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence.",https://linker.bio/line:gz:hash://sha256/80f3e67d9a954cc8ca7223a10d1951c1ff84ca2844e7840bcb32eeac61181964!/L1400720-L1400768,
no,,,,https://www.ncbi.nlm.nih.gov/nuccore/JX122673,OBI,"Origanum majorana voucher OBI 1-deoxy-D-xylulose-5-phosphate synthase (DXS) gene, partial cds.",https://linker.bio/line:gz:hash://sha256/025fa542c660f0fb06b7a97b3046c90020f4f1de851d5fe0c8be60a45dc4bbff!/L7343064-L7343123,
