occid,url,resourcename,locus
4060422,https://www.ncbi.nlm.nih.gov/nuccore/MW025115,GenBank Record,"Fritillaria sp. SR-2020 voucher OBI161445 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence."
2186655,https://www.ncbi.nlm.nih.gov/nuccore/MF670383,GenBank Record,"Megalochlamys marlothii voucher Rodin 9194 (OBI) trnS-trnG intergenic spacer, partial sequence; chloroplast."
2186655,https://www.ncbi.nlm.nih.gov/nuccore/MF678400,GenBank Record,"Megalochlamys marlothii voucher Rodin 9194 (OBI) ribosomal protein S16 (rps16) gene, intron; chloroplast."
2186655,https://www.ncbi.nlm.nih.gov/nuccore/MF768302,GenBank Record,"Megalochlamys marlothii voucher Rodin 9194 (OBI) trnT-trnL intergenic spacer, partial sequence; chloroplast."
2186655,https://www.ncbi.nlm.nih.gov/nuccore/MF768361,GenBank Record,"Megalochlamys marlothii voucher Rodin 9194 (OBI) trnL-trnF intergenic spacer, partial sequence; chloroplast."
2186655,https://www.ncbi.nlm.nih.gov/nuccore/MF768408,GenBank Record,"Megalochlamys marlothii voucher Rodin 9194 (OBI) internal transcribed spacer 1, partial sequence; 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence."
214465,https://www.ncbi.nlm.nih.gov/nuccore/MT735479,GenBank Record,"Angelica lucida voucher D. Smith 203 (OBI13881) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
214465,https://www.ncbi.nlm.nih.gov/nuccore/MT765849,GenBank Record,"Angelica lucida D. Smith 203 (OBI13881) ndhF-rpl32 intergenic spacer, partial sequence."
214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766044,GenBank Record,"Angelica lucida D. Smith 203 (OBI13881) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
214465,https://www.ncbi.nlm.nih.gov/nuccore/MT766204,GenBank Record,"Angelica lucida D. Smith 203 (OBI13881) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
214463,https://www.ncbi.nlm.nih.gov/nuccore/MT735449,GenBank Record,"Angelica scabrida voucher A.C. Sanders et al. 6885 (OBI044899) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
214463,https://www.ncbi.nlm.nih.gov/nuccore/MT765845,GenBank Record,"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) ndhF-rpl32 intergenic spacer, partial sequence."
214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766024,GenBank Record,"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) tRNA-Asp (trnD-GUC), tRNA-Tyr (trnY-GUA), tRNA-Glu (trnE-UUC), and tRNA-Thr (trnT-GGU) genes, complete sequence."
214463,https://www.ncbi.nlm.nih.gov/nuccore/MT766162,GenBank Record,"Angelica scabrida A.C. Sanders et al. 6885 (OBI044899) rpl32-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence."
211800,https://www.ncbi.nlm.nih.gov/nuccore/MT735480,GenBank Record,"Angelica lucida voucher Tracey & V. Call 2507 (OBI081640) internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence."
